Municipio,Province
A Cañiza,Pontevedra
A Coruña,A Coruña
Abegondo,A Coruña
Abla,Almería
Abrucena,Almería
Adanero,Ávila
Adra,Almería
Agost,Alacant / Alicante
Aguadulce,Sevilha
Aguilar de la Frontera,Córdoba
Agullent,València / Valencia
Aielo de Malferit,València / Valencia
Alacant / Alicante,Alacant / Alicante
Alaejos,Valladolid
Alagón del Río,Cáceres
Albaida,València / Valencia
Albal,València / Valencia
Alberic,València / Valencia
Albolote,Granada
Albuñol,Granada
Alcalá de Guadaíra,Sevilha
Alcalá de Henares,Comunidade de Madrid
Alcalá de los Gazules,Cádiz
Alcantarilla,Região de Murcia
Alcobendas,Comunidade de Madrid
Alcoi / Alcoy,Alacant / Alicante
Alconada,Salamanca
Alcorcón,Comunidade de Madrid
Alcuéscar,Cáceres
Aldea del Cano,Cáceres
Aldeanueva del Camino,Cáceres
Aldeatejada,Salamanca
Aldehuela de la Bóveda,Salamanca
Aldeire,Granada
Alfacar,Granada
Alfafar,València / Valencia
Algarrobo,Málaga
Algeciras,Cádiz
Alginet,València / Valencia
Alhama de Murcia,Região de Murcia
Alhaurín de la Torre,Málaga
Alhendín,Granada
Aljaraque,Huelva
Aljucén,Badajoz
Almaraz,Cáceres
Almendralejo,Badajoz
Almensilla,Sevilha
Almería,Almería
Almonte,Huelva
Almuñécar,Granada
Almuradiel,Ciudad Real
Alovera,Guadalajara
Alpedrete,Comunidade de Madrid
Altafulla,Tarragona
Andújar,Jaén
Antas,Almería
Antequera,Málaga
Arahal,Sevilha
Aranga,A Coruña
Aranjuez,Comunidade de Madrid
Arapiles,Salamanca
Archidona,Málaga
Arévalo,Ávila
Argamasilla de Alba,Ciudad Real
Argamasilla de Calatrava,Ciudad Real
Arganda del Rey,Comunidade de Madrid
Aroche,Huelva
Arroyo de San Serván,Badajoz
Arroyomolinos,Comunidade de Madrid
Arteixo,A Coruña
As Neves,Pontevedra
As Nogais,Lugo
Astorga,León
Atalaya del Cañavate,Cuenca
Ataquines,Valladolid
Atarfe,Granada
Atzeneta d'Albaida,València / Valencia
Ávila,Ávila
Ayamonte,Huelva
Azuqueca de Henares,Guadalajara
Badajoz,Badajoz
Bailén,Jaén
Balanegra,Almería
Baños de Montemayor,Cáceres
Banyeres del Penedès,Tarragona
Baralla,Lugo
Barbadillo,Salamanca
Barro,Pontevedra
Becerreá,Lugo
Bédar,Almería
Begonte,Lugo
Béjar,Salamanca
Belinchón,Cuenca
Belvís de Monroy,Cáceres
Bembibre,León
Benacazón,Sevilha
Benalmádena,Málaga
Benamejí,Córdoba
Benavente,Zamora
Beneixida,València / Valencia
Benicarló,Castelló de la Plana / Castellón de la Plana
Benifaió,València / Valencia
Benimodo,València / Valencia
Beniparrell,València / Valencia
Bercero,Valladolid
Betanzos,A Coruña
Boadilla del Monte,Comunidade de Madrid
Bollullos de la Mitación,Sevilha
Bollullos Par del Condado,Huelva
Bonares,Huelva
Bormujos,Sevilha
Borriana / Burriana,Castelló de la Plana / Castellón de la Plana
Brazuelo,León
Buenavista,Salamanca
Buitrago del Lozoya,Comunidade de Madrid
Buñol,València / Valencia
Cabanes,Castelló de la Plana / Castellón de la Plana
Cabanillas del Campo,Guadalajara
Cáceres,Cáceres
Caldas de Reis,Pontevedra
Calera y Chozas,Toledo
Calzada de Don Diego,Salamanca
Calzadilla de los Barros,Badajoz
Camas,Sevilha
Cambil,Jaén
Cambre,A Coruña
Cambrils,Tarragona
Campillo de Arenas,Jaén
Camponaraya,León
Campotéjar,Granada
Cañada de Calatrava,Ciudad Real
Canals,València / Valencia
Cañaveral,Cáceres
Cañizal,Zamora
Carbajosa de la Sagrada,Salamanca
Carboneros,Jaén
Cárcheles,Jaén
Carlet,València / Valencia
Carmona,Sevilha
Carpio de Azaba,Salamanca
Carracedelo,León
Carral,A Coruña
Carranque,Toledo
Carrascal de Barregas,Salamanca
Carrión de Calatrava,Ciudad Real
Carrión de los Céspedes,Sevilha
Cartaya,Huelva
Casabermeja,Málaga
Casar de Cáceres,Cáceres
Casares,Málaga
Casarrubios del Monte,Toledo
Casas de Don Antonio,Cáceres
Casas de Don Gómez,Cáceres
Casas de Millán,Cáceres
Casas del Monte,Cáceres
Casatejada,Cáceres
Castalla,Alacant / Alicante
Castellanos de Moriscos,Salamanca
Castelló de la Plana / Castellón de la Plana,Castelló de la Plana / Castellón de la Plana
Castelló,València / Valencia
Castilleja de la Cuesta,Sevilha
Castillejo de Iniesta,Cuenca
Castillo de Garcimuñoz,Cuenca
Castrillo de la Guareña,Zamora
Castrogonzalo,Zamora
Catarroja,València / Valencia
Caudete de las Fuentes,València / Valencia
Cazalegas,Toledo
Cebrones del Río,León
Cerecinos de Campos,Zamora
Cerezo de Abajo,Segóvia
Cervera del Llano,Cuenca
Chauchina,Granada
Cheste,València / Valencia
Chiva,València / Valencia
Chucena,Huelva
Ciempozuelos,Comunidade de Madrid
Cijuela,Granada
Ciudad Real,Ciudad Real
Ciudad Rodrigo,Salamanca
Cocentaina,Alacant / Alicante
Coirós,A Coruña
Collado Villalba,Comunidade de Madrid
Colmenar Viejo,Comunidade de Madrid
Congosto,León
Córdoba,Córdoba
Coria,Cáceres
Coria del Río,Sevilha
Cox,Alacant / Alicante
Crespos,Ávila
Crevillent,Alacant / Alicante
Culleredo,A Coruña
Daimiel,Ciudad Real
Dehesas Viejas,Granada
Deifontes,Granada
Deleitosa,Cáceres
Diezma,Granada
Dólar,Granada
Don Benito,Badajoz
Dos Hermanas,Sevilha
Dosbarrios,Toledo
Écija,Sevilha
El Carpio,Córdoba
El Cuervo de Sevilla,Sevilha
El Ejido,Almería
El Espinar,Segóvia
El Garrobo,Sevilha
El Granado,Huelva
El Molar,Comunidade de Madrid
El Pinar,Granada
El Puerto de Santa María,Cádiz
El Puig de Santa Maria,València / Valencia
El Ronquillo,Sevilha
El Vendrell,Tarragona
El Viso de San Juan,Toledo
Elx / Elche,Alacant / Alicante
Encinas de Abajo,Salamanca
Encinas Reales,Córdoba
Encinasola,Huelva
Escurial,Cáceres
Espartinas,Sevilha
Espeja,Salamanca
Espinosa de los Caballeros,Ávila
Estepa,Sevilha
Estepona,Málaga
Fernán Núñez,Córdoba
Fiñana,Almería
Folgoso de la Ribera,León
Fresno Alhándiga,Salamanca
Frigiliana,Málaga
Fuengirola,Málaga
Fuenlabrada,Comunidade de Madrid
Fuente de Cantos,Badajoz
Fuente de Piedra,Málaga
Fuentes de Andalucía,Sevilha
Fuentes de Oñoro,Salamanca
Fuentidueña de Tajo,Comunidade de Madrid
Galapagar,Comunidade de Madrid
Galisteo,Cáceres
Gelves,Sevilha
Gérgal,Almería
Getafe,Comunidade de Madrid
Gibraleón,Huelva
Graja de Iniesta,Cuenca
Granada,Granada
Granja de Rocamora,Alacant / Alicante
Guadalajara,Guadalajara
Guadalix de la Sierra,Comunidade de Madrid
Guadarrama,Comunidade de Madrid
Guadassuar,València / Valencia
Guadix,Granada
Guareña,Badajoz
Guarromán,Jaén
Guijo de Ávila,Salamanca
Guijo de Galisteo,Cáceres
Guijuelo,Salamanca
Guillena,Sevilha
Guitiriz,Lugo
Gutierre-Muñoz,Ávila
Herencia,Ciudad Real
Herreruela de Oropesa,Toledo
Hinojal,Cáceres
Honrubia,Cuenca
Horcajo de la Sierra-Aoslos,Comunidade de Madrid
Huelva,Huelva
